Dodi,Gila,-
"Kabus, Malaus","Habis, Halus",-
"Kabuut, Kadut",Layar,-
Kadal,Kadal,-
"Kakadukon, Kadu-kadukon",Paru-Paru,-
"Kadempeng, Mange",Ompong,-
"Kakat, Kokotii",Gigit,-
Kakal,"Antusias, Bersemangat, Cakar, Keras",-
Kakadak,"Jerih Payah, Kerja Keras",-
"Kakabai, Kokubai",Perbuatan,-
Kakabaino,Meskipun,-
Kakabaikono,Telah Seperti,-
Kakalakon,Pura-pura Kalah,-
Kakalapus,Menghilang Jejak,-
Karambau,Kerbau,-
"Kalait, Sosiduk",Tombak,-
"Kalalatan, Kallatan, Pokallatan",Berbatasan,-
Bokukum,Baju,-
Toik,"Sarung, Kain",-
"Kalasoi, Bubu",Sero,-
Kalasan,Wasiat,-
Kalaolao,"Luntang lantung, Terlantar",-
"Kaleengis, Kadengis",Sumbing,-
Kali,Gali,-
Kaliangano,"Beragam, Macam Jenis",-
Kalimbombong,Mimisan,-
Kalipa,Sahabat,-
"Kalipoopok, Kalipook, Kikiik, kalipokan, Londomi",Gelap,-
Kalisoosok,Cicak,-
"Kaloang, Kolong, Kailong",Burung Bangau,-
Kalong,Kalung,-
Kalu,"Kalau, Jika, Apabila",-
Kaluangkang,Laba-laba,-
Kalukubon,Kurang Sehat,-
"Kalut, Karut, Lorong",Garuk,-
Kamali,"Istana, Rumah Adat",-
Kamangian,"Kemenyan, Dupa",-
"Kamba, Komba",Mandul,-
Kambang,Belang,-
Kambalo,Teguran,-
Kambing,"Rewel, Bawel",-
Kambot,Terbakar,-
Kamot,Jepit,-
Kampul,Getah,-
Kamumu,Ungu,-
Kana,Benar,-
Totuukon,Kena,-
Kanao,"Enau, Ijuk",-
Kanakene,"Pakaikan, Kenakan, Benarkan",-
"Kananam, Tamisan","Enak, Gurih, Lezat",-
Kanaan,"Manfaat, Kegunaan",-
Kanali,Buah Kenari,-
Beaum,Kemiri,-
Kai,"Atau, Lagi",-
Kait,Menyalah,-
"Kapalan, Nanasi",Nenas,-
Kaiton,Gantunglah,-
Kapatu,Kirim,-
Kapil,Sayap,-
Kapos,Kapas,-
Kaput,"Malam, Gelap",-
"Kasayesa, Toik Memela",Kain Merah,-
Kasasalakon,Buat-buatlah Salah,-
"Kasbii, Kasubi, Kasibii","Ubi Kayu, Singkong",-
Kasubiang,Pajak,-
Katas,"Kesan, Pesan",-
Katasan,Wasiat,-
"Katidon, Suwunge, Ugaat","Barangkali, Mungkin Saja",-
Katup,"Tampal, Tempel",-
"Kaung Kabung, Nggaung gabung, Kabung-kabung",Kapuk,-
Kauloon,Sayur,-
Kaut,Jahit,-
"Kaukayung, Kau",Kayu,-
"Kaubakilakit, Tampayonit",Benalu,-
Kayap,Melambai,-
"Kayol, Otulak, Tutulak",Berenang,-
"Kea, Koiya",Itu,-
"Keako, Pepelako",Lembah,-
Keas,Kemarau,-
Kedele,Seret,-
Larintene,Tarik,-
Kees,"Ekor, Sirip",-
Keete,Ikat,-
"Keis, Kirison, Kilison","Teriak, Pekik",-
"Kelebus, Kerebus, Toboi, Kundang","Tumpah, Curah, Tuang",-
Kelek,Ketiak,-
Kendeng,Berdiri,-
Kekeledut,Ngesot,-
